1,相机的标准镜头通常指的是（ ）。,50 mm镜头 ,原配镜头 ,焦距约等于相机画幅对角线长度的镜头,45—75mm之间的镜头,C
2,"为了表现物体质感和立体感,最好使用（ ）。",正面光,侧光,逆光,顺光,B
3,一般认为摄影术是在（ ）诞生的。,上世纪初,1839年 ,1826年 ,18世纪中叶,B
4,数码照相机的液晶显示器可以（ ）。,回放照片 ,显示相关信息,配合按键设置相机,以上都对,D
5,控制画面景深，最好采用（ ）模式。,光圈优先,快门优先,手动曝光,自动曝光,A
6,使用高速快门拍摄的主要特点是（ ）。 ,可以凝固动体,可以虚化背景,可以增大景深,可以产生动感,A
7,照片《白求恩大夫》的拍摄者是（ ）。,吴印咸 ,外国记者,郎静山,八路军无名战士 ,A
8,下面的方法能够减小景深的是（ ）。,使用短焦距镜头 ,使用较小光圈,采用较近距离拍摄 ,采用三脚架拍摄,C
9,摄影画面中最主要的被摄对象称之为（ ）。 ,前景 ,背景,陪体,主体,D
10,表现物体动感，最好采用（ ）模式。,光圈优先,快门优先,手动曝光,自动曝光,B
11,下面的方法能够增大景深的是（ ）。,使用短焦距镜头 ,使用较大光圈,采用较近距离拍摄 ,采用三脚架拍摄,A
12,被誉为“世界上最美的线条”的是（ ）。,水平线,垂直线 ,倾斜线 ,波状线,D
13,色温指的是（ ）。,光线的温度,光线的光谱成份 ,色彩的温度,光线的亮度,B
14,（ ）是新闻摄影的主要拍摄方法。,抓拍 ,偷拍,摆拍 ,组织加工,A
15,下面哪个是数码相机的传感器（ ）。,DC,DSLR ,DV ,CCD,D
16,摄影中ISO指的是（ ）。,画幅尺寸标准,感光度 ,光线亮度 ,相机规格标准,B
17,白平衡设置的主要作用是（ ）。,控制景物色彩还原效果,控制画面的明暗程度,控制画面的黑白灰层次 ,控制光比,A
18,自然界景物的平均反光率约为（ ）中灰。,100%,50%,18%,36%,C
19,水平角度拍摄所得到的画面感觉较为（ ）。 ,主体效果,平实客观,突出主体,层次分明,B
20,（ ）被公认为世界上第一个发明摄影术的人。,伊期曼·柯达 ,达盖尔,尼埃普斯,普利策,B
21,数码相机的高感光度的性能特点有（ ）。,噪点明显,反差大,灰雾小 ,解像力高,A
22,光线较为明亮的拍摄条件下，应该选择（ ）。,较大的光圈,较小的光圈,较慢的快门,采用三脚架拍摄,B
23,光线较为阴暗的拍摄条件下，应该选择（ ）。,较大的光圈,较小的光圈,较快的快门,较低的感光度,A
24,135照相机的系列镜头中，焦距在135毫米以上的通常被称为（ ）。,鱼眼镜头,长焦距镜头,标准镜头,超广角镜头,B
25,135照相机的系列镜头中，焦距可以连续变动的镜头通常被称为（ ）。,鱼眼镜头,长焦距镜头,标准镜头,变焦镜头,D
26,焦距短、视角广于标准镜头的摄影镜头，通常被称为（ ）。,折反射镜头,长焦距镜头,标准镜头,广角镜头,D
27,较暗环境下拍摄，通常会采用（ ）。,较小的光圈,较快的快门,大光圈+慢速快门,小光圈+快速快门,C
28,明亮环境下拍摄，通常会采用（ ）。,较大的光圈,较慢的快门,大光圈+慢速快门,小光圈+快速快门,D
29,滤光镜可分为很多种，偏振镜属于（ ）。,黑白滤光镜,彩色滤光镜,黑白彩色通用滤光镜,特殊效果滤光镜,C
30,为了获得更大的景深范围，应该采用（ ）。,较大的光圈,较小的光圈,较快的快门速度,较慢的快门速度,B
31,拍摄人像时，为了更好地虚化杂乱的背景，最好采用（ ）。,较大的光圈,较小的光圈,较快的快门速度,较慢的快门速度,A
32,光圈的作用是（ ）。,控制曝光量+画面虚实,控制曝光量+凝固动体,控制画面虚实+产生动感,控制画面虚实+凝固动体,A
33,拍摄风光时，采用（ ）的光圈系数会获得较大的清晰范围。,f5.6 ,f16 ,f1.4 ,f2.8,B
34,拍摄运动物体，（ ）要求采用更快的快门速度,背后方向拍摄,正侧面拍摄,45°角度拍摄,正面拍摄,B
35,属于德国的光学器材品牌是（ ）。,佳能 ,三星,柯达 ,蔡司,D
36,日出后或日落前一小时直射阳光的色温度是（ ）。,2 600K,3 800K,5 500K,6 600K,B
37,关于景深与焦距、光圈、拍摄距离的关系，下列说法正确的是（ ）。,焦距越长，景深越短,光圈越小，景深越短,拍摄距离越长，景深越短,景深与三者没有关系,A
38,拍摄雪景时，为表现出冰雪晶莹剔透的效果，最好采用（ ）拍摄。,顺光,侧光,逆光或侧逆光,散射光,C
39,低感光度适合拍摄（ ）。,运动的汽车 ,夜景,风光摄影,水下,C
40,摄影术的诞生日为（ ）。,1839．8．19 ,1389．8．19 ,1938．8．19,1879．8．19 ,A
41,被摄主体所占画面面积很小，且与背景亮度差别较大时，宜采用（ ）。,平均测光,中央重点,点测光,区域测光,C
42,（ ）属于可见光按波长从长到短呈现的颜色。,红、黄、橙、绿、蓝、青、紫,紫、蓝、青、绿、黄、橙、红,红、橙、黄、绿、青、蓝、紫,黄、红、橙、绿、紫、蓝、青,C
43,光线传播的（ ）是入射线与反射线分属法线两侧，且与法线在同一平面内，入射角等于反射角。,折射定律,漫射定律,透射定律,反射定律,D
44,光圈的大小用光圈系数F表示，下列光圈系数中（ ）的光孔最大，通过的光线最多。,f4,f8,f11,f16,A
45,快门的大小标记为时间的倒数，下列快门数值中（ ）通过的光线最多。,1/30秒,1/100秒,1/500秒,1/1000秒,A
46,光圈和快门在通光量上可以相互转换，（ ）中的两组曝光组合可以获得相同的曝光量。,f4＋1/100秒与f8＋1/25秒,f4＋1/100秒与f11＋1/50秒,f8＋1/100秒与f4＋1/25秒,f8＋1/100秒与f11、1/25秒,A
47,禄莱（Roueiflex）、哈苏（Hasseblad）、玛米亚（Mamiya）等是（ ）照相机常见品牌。,大型照相机,135照相机,数码照相机,120中型照相机,D
48,区域曝光法是以黑白影调级谱为基础总结出来的一种科学曝光方法，其创始人是（ ）。,爱德华·斯泰肯,尤素福·卡什,安塞尔·亚当斯,爱德华·韦斯顿,C
49,（　）的视角接近于180°，可用来拍摄大场面照片并获得独特的视觉效果。,变焦镜头,微距镜头,广角镜头,鱼眼镜头,D
50,135型相机视场角为（　）的镜头属于标准镜头。,40°-60°,70°-95°,90°,80°以上,A
51,"某个照相机的标准镜头焦距为80mm,这个照相机属于（　）。",单反照相机,大型照相机,135照相机,120中型照相机,D
52,不同焦距镜头的拍摄效果不同，（ ）拍摄的画面空间广、景深大、透视效果夸张强烈。,长焦镜头,标准镜头,广角镜头,超长焦镜头,C
53,镜头的入射孔直径与焦距之比，叫作镜头的（ ）。,相对孔径,有效孔径,口径,景深,A
54,拍摄位置的选择包括（ ）。,选择拍摄距离,选择拍摄高度,选择拍摄方向,三者都选,D
55,画面透视与镜头焦距紧密相关，（ ）能把距离很远的景物挤压在一起，让人觉得很近。,长焦镜头,标准镜头,广角镜头,鱼眼镜头,A
56,世界上现存的第一幅照片是N?尼普斯拍摄的（ ）。,汉堡大火,窗外景色,巴黎林荫道,克莱山特广场,B
57,（　）直接影响着影像的密度、质感、清晰度以及色彩。,光照度的强度,光比的大小,曝光恰当与否,光圈的大小,C
58,光源的色温高低由（ ）决定。,光亮度,光照度,光源产生的热量,发光体的波长,D
59,“你们按快门，我们来完成。”出自（ ）照相机的广告词。,尼康,佳能,索尼,柯达,D
60,自然界景物的（　）都接近18%中灰。,阻光率,透光率,测光亮度,平均反光率,D
61,我国集锦摄影的创立者是（ ）。,郎静山,陈复礼,吴印咸,刘半农,A
62,二战时期，（ ）拍摄了著名人像摄影作品《丘吉尔》。,尤金·史密斯,尤素福·卡什,乔治·罗杰,戴维·西摩,B
